,Time,INIT_ERAB_SR
382,2022/06/16 22:00,99.92
383,2022/06/16 23:00,99.92
384,2022/06/17 00:00,99.95
385,2022/06/17 01:00,99.94
386,2022/06/17 02:00,99.94
387,2022/06/17 03:00,99.92
388,2022/06/17 04:00,99.91
389,2022/06/17 05:00,99.86
390,2022/06/17 06:00,99.75
391,2022/06/17 07:00,99.85
392,2022/06/17 08:00,99.88
393,2022/06/17 09:00,99.92
394,2022/06/17 10:00,99.92
395,2022/06/17 11:00,99.92
396,2022/06/17 12:00,99.93
397,2022/06/17 13:00,99.91
398,2022/06/17 14:00,99.91
399,2022/06/17 15:00,99.91
400,2022/06/17 16:00,99.93
401,2022/06/17 17:00,99.82
402,2022/06/17 18:00,99.77
403,2022/06/17 19:00,99.76
404,2022/06/17 20:00,99.76
405,2022/06/17 21:00,99.64
406,2022/06/17 22:00,99.86
407,2022/06/17 23:00,99.92
408,2022/06/18 00:00,99.81
409,2022/06/18 01:00,99.55
410,2022/06/18 02:00,99.69
411,2022/06/18 03:00,99.44
412,2022/06/18 04:00,99.77
413,2022/06/18 05:00,99.85
414,2022/06/18 06:00,99.88
415,2022/06/18 07:00,99.24
416,2022/06/18 08:00,99.82
417,2022/06/18 09:00,99.89
418,2022/06/18 10:00,99.84
419,2022/06/18 11:00,99.62
420,2022/06/18 12:00,99.47
421,2022/06/18 13:00,99.75
422,2022/06/18 14:00,99.85
423,2022/06/18 15:00,99.73
424,2022/06/18 16:00,99.93
425,2022/06/18 17:00,99.79
426,2022/06/18 18:00,99.59
427,2022/06/18 19:00,99.7
428,2022/06/18 20:00,99.87
429,2022/06/18 21:00,99.92
430,2022/06/18 22:00,99.94
431,2022/06/18 23:00,99.95
432,2022/06/19 00:00,99.96
433,2022/06/19 01:00,99.96
434,2022/06/19 02:00,99.95
435,2022/06/19 03:00,99.96
436,2022/06/19 04:00,99.96
437,2022/06/19 05:00,99.96
438,2022/06/19 06:00,99.94
439,2022/06/19 07:00,99.93
440,2022/06/19 08:00,99.92
441,2022/06/19 09:00,99.92
442,2022/06/19 10:00,99.91
443,2022/06/19 11:00,99.74
444,2022/06/19 12:00,99.74
445,2022/06/19 13:00,99.83
446,2022/06/19 14:00,99.9
447,2022/06/19 15:00,99.89
448,2022/06/19 16:00,99.9
449,2022/06/19 17:00,99.89
450,2022/06/19 18:00,99.33
451,2022/06/19 19:00,99.76
452,2022/06/19 20:00,99.88
453,2022/06/19 21:00,99.91
454,2022/06/19 22:00,99.92
455,2022/06/19 23:00,99.92
456,2022/06/20 00:00,99.56
457,2022/06/20 01:00,99.27
458,2022/06/20 02:00,98.76
459,2022/06/20 03:00,98.68
460,2022/06/20 04:00,98.71
461,2022/06/20 05:00,98.97
462,2022/06/20 06:00,99.57
463,2022/06/20 07:00,99.87
464,2022/06/20 08:00,99.89
465,2022/06/20 09:00,99.89
466,2022/06/20 10:00,99.9
467,2022/06/20 11:00,99.84
468,2022/06/20 12:00,99.89
469,2022/06/20 13:00,99.92
470,2022/06/20 14:00,99.92
471,2022/06/20 15:00,99.85
472,2022/06/20 16:00,99.91
473,2022/06/20 17:00,99.92
474,2022/06/20 18:00,99.91
